core_id,study_id,latitude,longitude,ecosystem,depth_cm_midpoint,thickness_cm,soc_harmonized,bd_harmonized,carbon_stock_kg_m2,data_source,elevationRelMHW,elevation_m,slope,VH_mean,VVVH_ratio,VV_mean,B,EVI_median,G,LSWI_median,NDBI_median,NDVI_median,NIR,R,SAVI_median,SWIR1,SWIR2,brightness,greenness,mNDWI_median,wetness
10_814,10,47.342,-123.143,EM,7.5,15,334.7432117664502,0.1777343749999999,8.924306329320398,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_814,10,47.342,-123.143,EM,22.5,15,26.473664167308687,1.0975,4.358226963543193,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_814,10,47.342,-123.143,EM,40.0,20,21.5625,0.955625,4.121132812499999,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_814,10,47.342,-123.143,EM,75.0,50,1.3954589711923575,1.18,0.8233207930034909,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_815,10,47.342,-123.143,EM,7.5,15,294.83317077814456,0.10328125,4.567610762914537,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_815,10,47.342,-123.143,EM,22.5,15,258.7109375,0.1807812499999999,7.01551300048828,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_815,10,47.342,-123.143,EM,40.0,20,229.21875,0.213125,9.77044921875,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_815,10,47.342,-123.143,EM,75.0,50,280.0,0.24,33.6,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_816,10,47.342,-123.143,EM,7.5,15,276.40625,0.135390625,5.613422241210937,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_816,10,47.342,-123.143,EM,22.5,15,224.828125,0.186171875,6.278501037597657,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
10_816,10,47.342,-123.143,EM,40.0,20,103.0625,0.31,6.389875,global,1.5,2,0.0,-17.071600679374008,5.349206458084909,-11.722394221289099,0.10064999759197235,0.3226864110992158,0.08860000222921371,0.1969309514086838,-0.1969309514086838,0.43311002695299256,0.18719999492168427,0.07405000180006027,0.22295565243131898,0.12559999525547028,0.07434999942779541,0.27266782039105897,0.042263555190712225,-0.17273573044230398,-0.0026093574270606087
