profile_id,dataset,latitude,longitude,total_depth_cm,n_layers,sum_OrgC_Stock_kgm2,mean_BDOD,mean_OrgC_pct,country_name,year,first,elevation_m,slope,elevationRelMHW,twi,dist_to_channel_m,tidal_flat_prob,coastal_dist_m,VV_mean,VH_mean,VVVH_ratio,B,G,R,B5,B6,B7,NIR,SWIR1,SWIR2,NDVI_median,LSWI_median,mNDWI_median,NDVI_stdDev,SAVI_median,tidal_wetness,MAT_C,MAP_mm
1,Janousek,38.2031,-122.027,30.0,5,14.758125,0.42,12.28,,,0.14014703968792733,0,2.9994537830352783,-0.5,2.948883507352572,730.5477294921875,0,758.9466552734375,-12.166796907801336,-17.723703217818997,5.556906310017661,,,,,,,,,,,,,,,,16.098007246376813,499.17391304347825
10,Janousek,38.2,-122.0276,30.0,5,10.7935,0.352,9.855,,,0.14279383737685458,1,1.500716209411621,0.5,3.642056625095718,375.89892578125,0,872.0665283203125,-11.975177065620782,-17.532301217322978,5.557124151702196,,,,,,,,,,,,,,,,16.17518115942029,518.6521739130435
100,Janousek,44.6254,-124.0213,100.0,4,10.5715,1.1725,0.875,,,0.11137857218452371,0,0.0,-0.5,6.907755278982137,0.0,1,0.0,-20.960672127430907,-27.810873152363413,6.850201024932506,,,,,,,,,,,,,,,,11.11394927536232,1703.391304347826
1002,Janousek,40.8023,-124.1798,30.0,12,5.8045,2.3433333333333333,0.8833333333333333,,,0.12801807130292506,1,4.4373369216918945,0.5,2.5561713047372123,0.0,0,30.0,-15.64204399402186,-23.941069889578916,8.299025895557056,,,,,,,,,,,,,,,,12.447101449275362,988.913043478261
1003,Janousek,40.8023,-124.1815,30.0,13,4.2208,1.0269230769230768,1.5115384615384615,,,0.026290411702165263,0,0.0,-0.5,6.907755278982137,0.0,0,0.0,-21.073439621690376,-28.75147212816504,7.678032506474665,,,,,,,,,,,,,,,,12.447101449275362,988.913043478261
1004,Janousek,40.8019,-124.1807,30.0,15,7.340599999999999,2.444,1.0766666666666669,,,0.1293073335351798,1,1.8543341159820557,0.5,3.4303529125286274,0.0,0,0.0,-13.1659124917866,-24.188042172413592,11.022129680626993,,,,,,,,,,,,,,,,12.447101449275362,988.913043478261
1005,Janousek,40.8022,-124.1808,50.0,22,11.457,1.1854545454545455,2.020454545454545,,,0.20004264042822928,0,2.6183605194091797,-0.5,3.0849829722718134,0.0,0,0.0,-18.6116809136403,-27.502743395792322,8.891062482152023,,,,,,,,,,,,,,,,12.447101449275362,988.913043478261
1006,Janousek,40.8023,-124.1815,50.0,25,8.801,1.1012,1.602,,,0.026290411702165263,0,0.0,-0.5,6.907755278982137,0.0,0,0.0,-21.073439621690376,-28.75147212816504,7.678032506474665,,,,,,,,,,,,,,,,12.447101449275362,988.913043478261
1007,Janousek,40.8019,-124.1806,30.0,15,8.46,1.8753333333333333,1.5066666666666666,,,0.10377626191203716,1,3.9010186195373535,0.5,2.6854432180467454,0.0,0,30.0,-11.507351542837895,-21.856994967723637,10.349643424885741,,,,,,,,,,,,,,,,12.447101449275362,988.913043478261
1008,Janousek,40.8023,-124.1815,50.0,24,15.2586,1.2183333333333333,2.5125,,,0.026290411702165263,0,0.0,-0.5,6.907755278982137,0.0,0,0.0,-21.073439621690376,-28.75147212816504,7.678032506474665,,,,,,,,,,,,,,,,12.447101449275362,988.913043478261
1009,Janousek,43.3258,-124.3257,100.0,86,20.623,1.0072093023255817,2.05,,,0.11399911193735973,0,0.0,-0.5,6.907755278982137,0.0,1,0.0,-19.639779875586523,-27.077337877875046,7.437558002288522,,,,,,,,,,,,,,,,11.447644927536233,1562.695652173913
101,Janousek,44.6255,-124.0215,100.0,4,10.536,1.2574999999999998,0.85,,,0.09116852327185017,0,0.0,-0.5,6.907755278982137,0.0,1,0.0,-20.87595643680581,-27.88140884987225,7.00545241306644,,,,,,,,,,,,,,,,11.11394927536232,1703.391304347826
1010,Janousek,43.452,-124.2018,100.5,53,31.01565,0.9539622641509434,3.1528301886792454,,,0.06489594207710875,0,0.0,-0.5,6.907755278982137,0.0,0,0.0,-22.458702541870643,-26.990239267287627,4.531536725416984,,,,,,,,,,,,,,,,11.697826086956521,1602.5217391304348
1011,Janousek,38.19184,-122.31713,100.0,8,40.55775,0.7324999999999999,6.2,,,0.1449982178691019,5,1.179931402206421,4.5,3.882630126228019,0.0,0,30.0,-12.389678438835066,-15.989332752888853,3.5996543140537867,,,,,,,,,,,,,,,,15.644384057971015,635.9565217391305
1012,Janousek,38.19084,-122.31988,100.0,8,35.9265,0.365,11.40625,,,0.1020873609214659,6,0.9274099469184875,5.5,4.123500053280157,283.0194396972656,0,318.9043884277344,-11.855414291898128,-16.12141928051147,4.266004988613343,,,,,,,,,,,,,,,,15.644384057971015,635.9565217391305
1013,Janousek,38.19654,-122.32138,100.0,8,35.2555,0.7949999999999999,5.25625,,,0.07560684474389869,5,1.8543341159820557,4.5,3.4303529125286274,0.0,0,30.0,-11.01939658505346,-15.866671435077656,4.847274850024196,,,,,,,,,,,,,,,,15.731340579710144,636.9565217391305
1014,Janousek,38.1962,-122.3218,100.0,8,39.7065,0.725,5.75,,,0.0767004142835275,4,0.9274099469184875,3.5,4.123500053280157,67.08203887939453,0,84.85281372070312,-11.46078081008515,-15.826271454219391,4.3654906441342405,,,,,,,,,,,,,,,,15.644384057971015,635.9565217391305
1015,Janousek,38.1961,-122.32215,100.0,8,31.4615,0.435,7.5,,,0.07629588100921336,4,1.500666618347168,3.5,3.642089685691368,84.85281372070312,0,108.16654205322266,-11.589808526338807,-15.800859379992104,4.211050853653298,,,,,,,,,,,,,,,,15.644384057971015,635.9565217391305
1016,Janousek,38.19595,-122.3229,100.0,8,36.13475,0.46875,8.6,,,0.08265207457062679,3,2.5343587398529053,2.5,3.117634687165422,174.92855834960938,0,201.24612426757812,-11.352730977755268,-15.725960980037682,4.373230002282414,,,,,,,,,,,,,,,,15.644384057971015,635.9565217391305
