profile_id,dataset,latitude,longitude,embedding_sim_to_cluster_0,embedding_sim_to_cluster_1,embedding_sim_to_cluster_2,embedding_sim_to_cluster_3,embedding_sim_to_cluster_4,embedding_max_sim,embedding_best_cluster
1,Janousek,38.2031,-122.027,0.21342530683658562,0.3638698199884725,0.0684958880496711,0.13976853879680726,0.3102770314430575,0.3638698199884725,1
10,Janousek,38.2,-122.0276,0.2100106154591748,0.3695841993560447,0.058741731880167215,0.12218457176887293,0.27233236041641085,0.3695841993560447,1
100,Janousek,44.6254,-124.0213,0.8459046555479232,0.4310137776585448,0.2507283286516802,0.9721870239129676,0.20285429010310205,0.9721870239129676,3
1002,Janousek,40.8023,-124.1798,0.7397252808344923,0.5871626031714088,0.21433671985459374,0.6847237241441114,0.2823347960240568,0.7397252808344923,0
1003,Janousek,40.8023,-124.1815,0.77281385564246,0.3465875633501358,0.11466863426868636,0.8868164842403511,0.12108923934943851,0.8868164842403511,3
1004,Janousek,40.8019,-124.1807,0.7241699935065838,0.5153281879636988,0.20826961204460173,0.6986480915524731,0.2765796380929519,0.7241699935065838,0
1005,Janousek,40.8022,-124.1808,0.7542656643642124,0.37201648790228636,0.12191029258752506,0.8576168914058513,0.14562940745790443,0.8576168914058513,3
1006,Janousek,40.8023,-124.1815,0.77281385564246,0.3465875633501358,0.11466863426868636,0.8868164842403511,0.12108923934943851,0.8868164842403511,3
1007,Janousek,40.8019,-124.1806,0.7241699935065838,0.5153281879636988,0.20826961204460173,0.6986480915524731,0.2765796380929519,0.7241699935065838,0
1008,Janousek,40.8023,-124.1815,0.77281385564246,0.3465875633501358,0.11466863426868636,0.8868164842403511,0.12108923934943851,0.8868164842403511,3
1009,Janousek,43.3258,-124.3257,0.8927147403679271,0.5190310257518405,0.2709210160734693,0.9503303421175237,0.2568082026992899,0.9503303421175237,3
101,Janousek,44.6255,-124.0215,0.8463967358027588,0.4340302005809164,0.24989752767136278,0.9714904503903676,0.19924609420431802,0.9714904503903676,3
1010,Janousek,43.452,-124.2018,0.8737041993146989,0.4809009829728188,0.24586377493491843,0.9653502641961411,0.22232668834182534,0.9653502641961411,3
1011,Janousek,38.19184,-122.31713,0.3169412229339966,0.4913446592933815,0.12911065239375327,0.2446423079957421,0.2914813595592859,0.4913446592933815,1
1012,Janousek,38.19084,-122.31988,0.28601040247021914,0.47667211421017336,0.11320077465828497,0.2028360885705975,0.25418741616277335,0.47667211421017336,1
1013,Janousek,38.19654,-122.32138,0.36622897884793165,0.5356567675520744,0.17247660041432195,0.24895843842121515,0.3067193708894951,0.5356567675520744,1
1014,Janousek,38.1962,-122.3218,0.33787825491807866,0.5434169946539239,0.17436274921347197,0.226922132596739,0.2985588036851224,0.5434169946539239,1
1015,Janousek,38.1961,-122.32215,0.3233914888098056,0.5369910631588872,0.1521829656120462,0.2102338961218122,0.29493426488081803,0.5369910631588872,1
1016,Janousek,38.19595,-122.3229,0.2961783402666309,0.514751766866166,0.13301585298644053,0.17289112077658966,0.29126276105774396,0.514751766866166,1
1017,Janousek,38.19966,-122.02824,0.19961925206234768,0.36412458648035784,0.06171525848374322,0.10755967116517905,0.2713374616772922,0.36412458648035784,1
1018,Janousek,38.19993,-122.02876,0.19609876534995496,0.3758643699006586,0.06356903973222858,0.11252053194159936,0.2620178134925185,0.3758643699006586,1
1019,Janousek,38.19686,-122.02886,0.310889404106687,0.4211375830692609,0.04903388618333033,0.24711898381467148,0.22202731825905034,0.4211375830692609,1
102,Janousek,44.6256,-124.0218,0.8478782962771576,0.4335083610859115,0.24762714030916774,0.9721724751953923,0.19735792481941855,0.9721724751953923,3
1020,Janousek,38.19712,-122.02848,0.2102593954923122,0.34735590044796005,0.03636583514208496,0.13854759894132335,0.23666419455247786,0.34735590044796005,1
1021,Janousek,38.19737,-122.02811,0.1904416826367502,0.34283095546013553,0.045013213659923834,0.11340532469566583,0.2627819917348309,0.34283095546013553,1
1022,Janousek,38.19745,-122.02761,0.19631113164927694,0.3534039456865064,0.04149742451421538,0.10916501981564629,0.2603755230720748,0.3534039456865064,1
1023,Janousek,37.9464,-122.41946,0.6457126617765122,0.4712407049313073,0.08796519812004724,0.6293725160850638,0.16043996777257893,0.6457126617765122,0
1024,Janousek,37.94484,-122.41429,0.7388660165403984,0.3907979032158553,0.08410442033299388,0.8156855606497072,0.10249599897742323,0.8156855606497072,3
1025,Janousek,37.94499,-122.4144,0.7397647880068641,0.4397709202531097,0.0942052335644543,0.7918027078370409,0.11699103434562087,0.7918027078370409,3
1026,Janousek,38.00715,-122.48381,0.37388968985328636,0.5553447418500052,0.22556456065863453,0.22726033186084604,0.35721183666916323,0.5553447418500052,1
1027,Janousek,59.77316,-151.86098,0.3721651108478251,0.5498651504653277,0.380807184235481,0.17762847424992334,0.5024071595883737,0.5498651504653277,1
1028,Janousek,59.77322,-151.86127,0.37027090901403586,0.5564829187523463,0.38339225765527846,0.17521806614317328,0.49984538885243834,0.5564829187523463,1
1029,Janousek,59.7733,-151.86189,0.38213591785031614,0.5735333312703216,0.394191260213099,0.19842776251327637,0.5131475473157533,0.5735333312703216,1
103,Janousek,48.5478,-122.5098,0.8587177152318255,0.4913626914694449,0.28909808151913474,0.9630130550971946,0.2757727998613026,0.9630130550971946,3
1030,Janousek,59.77335,-151.86243,0.39395793467194823,0.5836420027939073,0.3969949572603782,0.2094477895907658,0.5089276780346462,0.5836420027939073,1
1031,Janousek,59.77356,-151.86311,0.38697152328921464,0.5643423548624664,0.3786552866862453,0.2038486064409373,0.4954546810221507,0.5643423548624664,1
1032,Janousek,59.77411,-151.86417,0.3943328086296197,0.5686845882526022,0.3931413213098098,0.21154150826627255,0.4923308328310887,0.5686845882526022,1
1033,Janousek,59.77425,-151.86536,0.43688060251171196,0.5992058212381207,0.4127920748957073,0.26362630712992147,0.48162840403670326,0.5992058212381207,1
1034,Janousek,59.64005,-151.53116,0.5766941796812629,0.6465723406439049,0.43669293446723645,0.4003022187786717,0.3723527741446162,0.6465723406439049,1
1035,Janousek,59.64043,-151.53098,0.48867014351757093,0.636048279246507,0.4474968812150222,0.32118744866790366,0.4479604134859158,0.636048279246507,1
1036,Janousek,59.64074,-151.53076,0.4352156988475914,0.6081290416097452,0.4252175359951508,0.2473376236214848,0.49241022297118364,0.6081290416097452,1
1037,Janousek,59.63765,-151.5278,0.5573465560422846,0.6374861994902683,0.43518985262678717,0.372125322166093,0.38882135658902717,0.6374861994902683,1
1038,Janousek,59.63757,-151.52858,0.5591781661511027,0.6242054009232822,0.43913456778671767,0.3657938754235523,0.38606666502509435,0.6242054009232822,1
1039,Janousek,59.63845,-151.52937,0.5278783113046943,0.6260114931359368,0.43765328793412916,0.3410225296697436,0.3965574563447793,0.6260114931359368,1
104,Janousek,48.5479,-122.51,0.8582307176842113,0.4972237463427292,0.2987861450560475,0.9604499196408652,0.2846389815885558,0.9604499196408652,3
1040,Janousek,59.64056,-151.5361,0.43136728830565546,0.5956379469810122,0.38483145733171176,0.2623335523316011,0.4807160822802723,0.5956379469810122,1
1041,Janousek,59.64109,-151.5356,0.2943086217289194,0.483238470107328,0.41067940365249106,0.1620889166175149,0.5008828612173968,0.5008828612173968,4
1042,Janousek,59.55557,-151.30379,0.5875298905306716,0.7098992075365665,0.5138788591725135,0.39508688746795284,0.46690977359472186,0.7098992075365665,1
1044,Janousek,59.55116,-151.30472,0.5059976255340939,0.6576020006647401,0.4635908560263005,0.318880255653025,0.4651159686259312,0.6576020006647401,1
1049,Janousek,59.5563,-151.31259,0.5275874645820776,0.699633270633155,0.49724932953687523,0.32807647683606583,0.4832258345688815,0.699633270633155,1
105,Janousek,48.5479,-122.5102,0.8570261365025758,0.4958790731836958,0.3051482728474059,0.9626069450146661,0.28400551509821603,0.9626069450146661,3
1050,Janousek,59.55622,-151.31404,0.5417907525884359,0.7161683971361567,0.4878049563890232,0.32620241727141513,0.5099588863578116,0.7161683971361567,1
1051,Janousek,37.5514,-122.2383,0.2912809597274314,0.4246531347330715,0.11780471587318408,0.19881313798538788,0.22301241066395616,0.4246531347330715,1
106,Janousek,48.5479,-122.5105,0.8545641283161567,0.48592336297385547,0.2989547807626855,0.9648127495779036,0.27423769510462287,0.9648127495779036,3
1060,Janousek,38.167,-122.5513,0.2889781539098808,0.4802388174401353,0.1438929441309165,0.17082905790395006,0.27011432231389054,0.4802388174401353,1
1063,Janousek,49.05003,-123.03683,0.5968208299542128,0.901791995275465,0.39927415682943784,0.3257538499731795,0.746474169566637,0.901791995275465,1
1064,Janousek,49.05031,-123.03469,0.49155099276238057,0.8209523346388892,0.41750738914545144,0.2802827734765258,0.7252363926992392,0.8209523346388892,1
1065,Janousek,49.048,-123.04686,0.47418199507214326,0.8373822820367413,0.41009590977955757,0.23737346166265266,0.7700626899626075,0.8373822820367413,1
1066,Janousek,49.04725,-123.04589,0.46988517115208056,0.8111698448569489,0.4559461246677567,0.24208408060729428,0.8159333040435583,0.8159333040435583,4
